X,Y,LAYER
88.831,52.388,2

84.280,49.989,2

79.376,48.472,2

74.226,47.979,2

69.110,48.472,2

64.207,49.989,2

59.656,52.388,2

55.669,55.669,2

52.424,59.656,2

49.989,64.171,2

48.508,69.110,2

105.200,69.181,2

104.001,64.277,2

102.025,59.656,2

99.309,55.387,2

95.992,51.612,2

92.076,48.402,2

87.702,45.897,2

82.975,44.098,2

78.036,43.075,2

72.991,42.863,2

67.981,43.498,2

63.113,44.909,2

58.562,47.061,2

54.399,49.919,2

50.766,53.411,2

47.732,57.468,2

45.368,61.949,2

43.780,66.711,2

42.969,71.721,2

42.969,76.766,2

43.780,81.740,2

45.368,86.538,2

47.732,91.018,2

50.766,95.040,2

54.399,98.532,2

58.562,101.390,2

63.113,103.577,2

67.981,104.988,2

72.991,105.588,2

78.036,105.376,2

82.975,104.353,2

87.702,102.589,2

92.076,100.049,2

95.992,96.839,2

99.344,93.064,2

102.025,88.796,2

104.001,84.174,2

105.200,79.270,2

110.386,69.146,2

109.328,64.171,2

107.599,59.373,2

105.200,54.893,2

102.201,50.766,2

98.674,47.097,2

94.652,43.957,2

90.242,41.417,2

85.515,39.512,2

80.576,38.277,2

75.531,37.748,2

70.416,37.924,2

65.406,38.806,2

60.573,40.394,2

55.987,42.616,2

51.753,45.474,2

47.979,48.861,2

44.698,52.776,2

42.017,57.080,2

39.935,61.737,2

38.524,66.641,2

37.818,71.686,2

37.818,76.766,2

38.524,81.810,2

39.935,86.714,2

42.017,91.371,2

44.698,95.675,2

47.979,99.591,2

51.753,102.977,2

55.987,105.835,2

60.573,108.058,2

65.406,109.645,2

70.416,110.527,2

75.531,110.703,2

80.576,110.174,2

85.515,108.940,2

90.242,107.035,2

94.652,104.494,2

98.674,101.355,2

102.201,97.686,2

105.200,93.558,2

107.599,89.078,2

109.328,84.280,2

110.386,79.306,2

33.021,79.341,2

33.938,84.386,2

35.490,89.254,2

37.642,93.911,2

40.358,98.285,2

43.569,102.272,2

47.238,105.835,2

51.330,108.940,2

55.775,111.480,2

60.502,113.490,2

65.406,114.902,2

70.486,115.678,2

75.601,115.819,2

80.717,115.360,2

85.726,114.267,2

90.560,112.573,2

95.146,110.280,2

99.414,107.458,2

103.295,104.106,2

106.752,100.332,2

109.716,96.133,2

112.150,91.618,2

113.984,86.855,2

115.254,81.881,2

115.854,76.801,2

115.854,71.686,2

115.254,66.570,2

113.984,61.596,2

112.150,56.833,2

109.716,52.318,2

106.752,48.120,2

103.295,44.345,2

99.414,41.029,2

95.146,38.171,2

90.560,35.913,2

85.726,34.185,2

80.717,33.091,2

75.601,32.632,2

70.486,32.774,2

65.406,33.585,2

60.502,34.961,2

55.775,36.972,2

51.330,39.547,2

47.238,42.616,2

43.569,46.179,2

40.358,50.166,2

37.642,54.540,2

35.490,59.197,2

33.938,64.065,2

33.021,69.110,2

120.687,69.040,2

119.876,64.030,2

118.500,59.162,2

116.595,54.470,2

114.231,49.989,2

111.374,45.827,2

108.093,41.981,2

104.389,38.489,2

100.367,35.455,2

95.992,32.844,2

91.406,30.727,2

86.608,29.140,2

81.669,28.082,2

76.625,27.552,2

71.544,27.552,2

66.535,28.117,2

61.596,29.210,2

56.798,30.869,2

52.212,32.985,2

47.873,35.631,2

43.851,38.700,2

40.182,42.193,2

36.936,46.074,2

34.114,50.272,2

31.751,54.752,2

29.881,59.444,2

28.540,64.312,2

27.764,69.322,2

116.489,74.226,3

121.604,74.226,3

121.322,69.110,3

120.511,64.030,3

119.135,59.091,3

117.230,54.329,3

114.831,49.813,3

111.973,45.544,3

108.622,41.664,3

104.918,38.136,3

100.826,35.031,3

96.416,32.386,3

91.794,30.234,3

86.926,28.575,3

81.916,27.482,3

76.801,26.917,3

71.686,26.917,3

66.570,27.482,3

61.561,28.575,3

56.692,30.234,3

52.036,32.386,3

47.661,35.031,3

43.569,38.136,3

39.829,41.664,3

36.513,45.544,3

33.656,49.813,3

31.257,54.329,3

29.352,59.091,3

27.976,64.030,3

27.129,69.110,3

26.882,74.226,3

27.129,79.341,3

27.976,84.421,3

29.352,89.360,3

31.257,94.123,3

33.656,98.674,3

36.513,102.907,3

39.865,106.823,3

43.569,110.351,3

47.661,113.455,3

52.036,116.101,3

56.692,118.253,3

61.561,119.876,3

66.570,120.969,3

71.686,121.534,3

76.801,121.534,3

81.916,120.969,3

86.926,119.876,3

91.794,118.253,3

96.451,116.101,3

100.826,113.455,3

104.918,110.351,3

108.622,106.823,3

111.973,102.907,3

114.831,98.638,3

117.230,94.123,3

119.135,89.360,3

120.511,84.421,3

121.358,79.341,3

116.172,69.146,3

115.254,64.136,3

113.737,59.232,3

111.656,54.611,3

109.010,50.236,3

105.870,46.215,3

102.272,42.616,3

98.250,39.476,3

93.876,36.831,3

89.219,34.714,3

84.351,33.197,3

79.341,32.280,3

74.226,31.962,3

69.146,32.280,3

64.136,33.197,3

59.268,34.714,3

54.611,36.831,3

50.236,39.441,3

46.215,42.616,3

42.616,46.215,3

39.476,50.236,3

36.831,54.611,3

34.749,59.232,3

33.232,64.101,3

32.315,69.146,3

31.997,74.226,3

32.315,79.306,3

33.232,84.351,3

34.749,89.219,3

36.831,93.876,3

39.476,98.215,3

42.616,102.237,3

46.215,105.870,3

50.236,109.010,3

54.611,111.656,3

59.268,113.737,3

64.136,115.254,3

69.146,116.172,3

74.226,116.489,3

79.341,116.172,3

